Country/Territories,Currency,Currency Code,Currency Units per £1,Start Date ,End Date
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.3387,01/06/2023,30/06/2023
St Lucia,E Caribbean Dollar,XCD,3.3387,01/06/2023,30/06/2023
St Vincent,E Caribbean Dollar,XCD,3.3387,01/06/2023,30/06/2023
Sudan Republic,Pound,SDG,742.5498,01/06/2023,30/06/2023
Surinam,Dollar,SRD,45.7296,01/06/2023,30/06/2023
Swaziland,Lilangeni,SZL,23.7495,01/06/2023,30/06/2023
Sweden,Krona,SEK,13.2565,01/06/2023,30/06/2023
Switzerland,Franc,CHF,1.1186,01/06/2023,30/06/2023
Taiwan,Dollar,TWD,38.0747,01/06/2023,30/06/2023
Tanzania,Schilling,TZS,2924.4469,01/06/2023,30/06/2023
Thailand,Baht,THB,42.7074,01/06/2023,30/06/2023
Togo Republic,CFA Franc,XOF,753.6588,01/06/2023,30/06/2023
Tonga Islands,Pa'anga (AUS),TOP,1.8915,01/06/2023,30/06/2023
Trinidad/Tobago,Dollar,TTD,8.3663,01/06/2023,30/06/2023
Tunisia,Dinar,TND,3.8354,01/06/2023,30/06/2023
Turkey,Turkish  Lira,TRY,24.6009,01/06/2023,30/06/2023
Turkmenistan,New Manat,TMT,4.3279,01/06/2023,30/06/2023
UAE,Dirham,AED,4.5409,01/06/2023,30/06/2023
Uganda,Schilling,UGX,4616.0507,01/06/2023,30/06/2023
Ukraine,Hryvnia,UAH,45.6698,01/06/2023,30/06/2023
Uruguay,Peso,UYU,47.935,01/06/2023,30/06/2023
USA,Dollar,USD,1.2366,01/06/2023,30/06/2023
Uzbekistan,Sum,UZS,14118.9693,01/06/2023,30/06/2023
Vanuatu,Vatu,VUV,147.4774,01/06/2023,30/06/2023
Venezuela,Bolivar Fuerte,VEF,307331.86,01/06/2023,30/06/2023
Vietnam,Dong,VND,29021.9319,01/06/2023,30/06/2023
Wallis & Futuna Islands,CFP Franc,XPF,137.1057,01/06/2023,30/06/2023
Western Samoa,Tala,WST,3.3749,01/06/2023,30/06/2023
Yemen (Rep of),Rial,YER,309.2618,01/06/2023,30/06/2023
Zambia,Kwacha,ZMW,23.7369,01/06/2023,30/06/2023
Zimbabwe,Dollar,ZWL,447.5083,01/06/2023,30/06/2023
