Country/Territories,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Switzerland,Franc,CHF,1.1974,01/05/2020,31/05/2020
Taiwan,Dollar,TWD,37.06,01/05/2020,31/05/2020
Tanzania,Schilling,TZS,2853.69,01/05/2020,31/05/2020
Thailand,Baht,THB,39.86,01/05/2020,31/05/2020
Togo Republic,CFA Franc,XOF,746.79,01/05/2020,31/05/2020
Tonga Islands,Pa'anga (AUS),TOP,1.9526,01/05/2020,31/05/2020
Trinidad/Tobago,Dollar,TTD,8.3174,01/05/2020,31/05/2020
Tunisia,Dinar,TND,3.5692,01/05/2020,31/05/2020
Turkey,Turkish  Lira,TRY,8.6264,01/05/2020,31/05/2020
Turkmenistan,New Manat,TMT,4.3144,01/05/2020,31/05/2020
UAE,Dirham,AED,4.5278,01/05/2020,31/05/2020
Uganda,Schilling,UGX,4667.67,01/05/2020,31/05/2020
Ukraine,Hryvnia,UAH,33.3,01/05/2020,31/05/2020
Uruguay,Peso,UYU,53.22,01/05/2020,31/05/2020
USA,Dollar,USD,1.2327,01/05/2020,31/05/2020
Uzbekistan,Sum,UZS,12497,01/05/2020,31/05/2020
Vanuatu,Vatu,VUV,149.27,01/05/2020,31/05/2020
Venezuela,Bolivar Fuerte,VEF,306777,01/05/2020,31/05/2020
Vietnam,Dong,VND,28943.72,01/05/2020,31/05/2020
Wallis & Futuna Islands,CFP Franc,XPF,135.85,01/05/2020,31/05/2020
Western Samoa,Tala,WST,3.4109,01/05/2020,31/05/2020
Yemen (Rep of),Rial,YER,308.6,01/05/2020,31/05/2020
Zambia,Kwacha,ZMW,22.61,01/05/2020,31/05/2020
Zimbabwe,Dollar,ZWL,446.11,01/05/2020,31/05/2020
