Country/Territories,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Soloman Islands,Dollar,SBD,11.29,01/06/2021,30/06/2021
Somali Republic,Schilling,SOS,827.51,01/06/2021,30/06/2021
South Africa,Rand,ZAR,19.86,01/06/2021,30/06/2021
South Korea,Won,KRW,1599.07,01/06/2021,30/06/2021
Sri Lanka,Rupee,LKR,278.66,01/06/2021,30/06/2021
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.8193,01/06/2021,30/06/2021
St Lucia,E Caribbean Dollar,XCD,3.8193,01/06/2021,30/06/2021
St Vincent,E Caribbean Dollar,XCD,3.8193,01/06/2021,30/06/2021
Sudan Republic,Pound,SDG,579.96,01/06/2021,30/06/2021
Surinam,Dollar,SRD,20.02,01/06/2021,30/06/2021
Swaziland,Lilangeni,SZL,19.86,01/06/2021,30/06/2021
Sweden,Krona,SEK,11.79,01/06/2021,30/06/2021
Switzerland,Franc,CHF,1.274,01/06/2021,30/06/2021
Taiwan,Dollar,TWD,39.54,01/06/2021,30/06/2021
Tanzania,Schilling,TZS,3280.33,01/06/2021,30/06/2021
Thailand,Baht,THB,44.5,01/06/2021,30/06/2021
Togo Republic,CFA Franc,XOF,759.59,01/06/2021,30/06/2021
Tonga Islands,Pa'anga (AUS),TOP,1.8263,01/06/2021,30/06/2021
Trinidad/Tobago,Dollar,TTD,9.543,01/06/2021,30/06/2021
Tunisia,Dinar,TND,3.8588,01/06/2021,30/06/2021
Turkey,Turkish  Lira,TRY,11.86,01/06/2021,30/06/2021
Turkmenistan,New Manat,TMT,4.9509,01/06/2021,30/06/2021
UAE,Dirham,AED,5.1958,01/06/2021,30/06/2021
Uganda,Schilling,UGX,5035.78,01/06/2021,30/06/2021
Ukraine,Hryvnia,UAH,38.82,01/06/2021,30/06/2021
Uruguay,Peso,UYU,62.35,01/06/2021,30/06/2021
USA,Dollar,USD,1.4146,01/06/2021,30/06/2021
Uzbekistan,Sum,UZS,14974.4,01/06/2021,30/06/2021
Vanuatu,Vatu,VUV,153.3,01/06/2021,30/06/2021
Venezuela,Bolivar Fuerte,VEF,339953,01/06/2021,30/06/2021
Vietnam,Dong,VND,32599.73,01/06/2021,30/06/2021
Wallis & Futuna Islands,CFP Franc,XPF,138.18,01/06/2021,30/06/2021
Western Samoa,Tala,WST,3.5739,01/06/2021,30/06/2021
Yemen (Rep of),Rial,YER,353.38,01/06/2021,30/06/2021
Zambia,Kwacha,ZMW,31.77,01/06/2021,30/06/2021
Zimbabwe,Dollar,ZWL,511.92,01/06/2021,30/06/2021
