Country/Territories,Currency,Currency Code,Currency units per £1,Start Date,End Date
Uruguay,Peso,UYU,47.8235,01/04/2023,30/04/2023
USA,Dollar,USD,1.2231,01/04/2023,30/04/2023
Uzbekistan,Sum,UZS,13912.908,01/04/2023,30/04/2023
Vanuatu,Vatu,VUV,145.6048,01/04/2023,30/04/2023
Venezuela,Bolivar Fuerte,VEF,306020.77,01/04/2023,30/04/2023
Vietnam,Dong,VND,28773.6663,01/04/2023,30/04/2023
Wallis & Futuna Islands,CFP Franc,XPF,135.2504,01/04/2023,30/04/2023
Western Samoa,Tala,WST,3.3264,01/04/2023,30/04/2023
Yemen (Rep of),Rial,YER,305.8807,01/04/2023,30/04/2023
Zambia,Kwacha,ZMW,25.565,01/04/2023,30/04/2023
Zimbabwe,Dollar,ZWL,442.6424,01/04/2023,30/04/2023
