Country,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Dubai,Dirham,AED,4.8012,01/01/2020,31/01/2020
Ecuador,Dollar,ECS,1.3071,01/01/2020,31/01/2020
Egypt,Pound,EGP,20.98,01/01/2020,31/01/2020
El Salvador,Colon,SVC,11.43,01/01/2020,31/01/2020
Equatorial Guinea,CFA Franc,XAF,770.63,01/01/2020,31/01/2020
Eritrea,Nakfa,ERN,19.6,01/01/2020,31/01/2020
Ethiopia,Birr,ETB,41.43,01/01/2020,31/01/2020
Eurozone,Euro,EUR,1.1748,01/01/2020,31/01/2020
Fiji Islands,Dollar,FJD,2.8388,01/01/2020,31/01/2020
Fr. Polynesia,CFP Franc,XPF,140.19,01/01/2020,31/01/2020
Gabon,CFA Franc,XAF,770.63,01/01/2020,31/01/2020
Gambia,Dalasi,GMD,67.11,01/01/2020,31/01/2020
Georgia,Lari,GEL,3.7906,01/01/2020,31/01/2020
Ghana,Cedi,GHS,7.4832,01/01/2020,31/01/2020
Grenada,E Caribbean Dollar,XCD,3.5292,01/01/2020,31/01/2020
Guatemala,Quetzal,GTQ,10.04,01/01/2020,31/01/2020
Guinea Bissau,CFA Franc,XOF,770.63,01/01/2020,31/01/2020
Guinea Republic,Franc,GNF,12463.24,01/01/2020,31/01/2020
Guyana,Dollar,GYD,272.74,01/01/2020,31/01/2020
Haiti,Gourde,HTG,119.87,01/01/2020,31/01/2020
Honduras,Lempira,HNL,32.22,01/01/2020,31/01/2020
Hong Kong,Dollar,HKD,10.1778,01/01/2020,31/01/2020
Hungary,Forint,HUF,388.77,01/01/2020,31/01/2020
Iceland,Krona,ISK,161.2,01/01/2020,31/01/2020
India,Rupee,INR,92.77,01/01/2020,31/01/2020
Indonesia,Rupiah,IDR,18266.8,01/01/2020,31/01/2020
Iraq,Dinar,IQD,1556.1,01/01/2020,31/01/2020
Israel,Shekel,ILS,4.5713,01/01/2020,31/01/2020
Jamaica,Dollar,JMD,174.76,01/01/2020,31/01/2020
Japan,Yen,JPY,143.24,01/01/2020,31/01/2020
Jordan,Dinar,JOD,0.9267,01/01/2020,31/01/2020
Kazakhstan,Tenge,KZT,502.17,01/01/2020,31/01/2020
Kenya,Schilling,KES,131.95,01/01/2020,31/01/2020
Kuwait,Dinar,KWD,0.3968,01/01/2020,31/01/2020
Kyrgyz Republic,Som,KGS,91.28,01/01/2020,31/01/2020
Lao People's Dem Rep,Kip,LAK,11594.01,01/01/2020,31/01/2020
Lebanon,Pound,LBP,1976.34,01/01/2020,31/01/2020
Lesotho,Loti,LSL,18.65,01/01/2020,31/01/2020
Liberia,Dollar (US),LRD,1.3071,01/01/2020,31/01/2020
Libya,Dinar,LYD,1.8365,01/01/2020,31/01/2020
Macao,Pataca,MOP,10.48,01/01/2020,31/01/2020
Macedonia,Denar,MKD,72.34,01/01/2020,31/01/2020
Madagascar,Malagasy Ariary,MGA,4793.8,01/01/2020,31/01/2020
Malawi,Kwacha,MWK,962.55,01/01/2020,31/01/2020
Malaysia,Ringgit,MYR,5.4095,01/01/2020,31/01/2020
Maldive Islands,Rufiyaa,MVR,20.19,01/01/2020,31/01/2020
Mali Republic,CFA Franc,XOF,770.63,01/01/2020,31/01/2020
Mauritania,Mauritanian Ouguiya,MRU,49.25,01/01/2020,31/01/2020
Mauritius,Rupee,MUR,47.77,01/01/2020,31/01/2020
Mexico,Mexican Peso,MXN,24.76,01/01/2020,31/01/2020
Moldova,Leu,MDL,22.54,01/01/2020,31/01/2020
Mongolia,Tugrik,MNT,3579.5,01/01/2020,31/01/2020
Montserrat,E Caribbean Dollar,XCD,3.5292,01/01/2020,31/01/2020
Morocco,Dirham,MAD,12.56,01/01/2020,31/01/2020
Mozambique,Metical,MZN,82.47,01/01/2020,31/01/2020
Myanmar,Kyat,MMK,1967.27,01/01/2020,31/01/2020
Nepal,Rupee,NPR,148.43,01/01/2020,31/01/2020
New Caledonia,CFP Franc,XPF,140.19,01/01/2020,31/01/2020
New Zealand,Dollar,NZD,1.9838,01/01/2020,31/01/2020
Nicaragua,Gold Cordoba,NIO,44.18,01/01/2020,31/01/2020
Niger Republic,CFA Franc,XOF,770.63,01/01/2020,31/01/2020
Nigeria,Naira,NGN,475.45,01/01/2020,31/01/2020
Norway,Norwegian Krone,NOK,11.79,01/01/2020,31/01/2020
Oman,Rial,OMR,0.5032,01/01/2020,31/01/2020
Pakistan,Rupee,PKR,202.47,01/01/2020,31/01/2020
Panama,Balboa,PAB,1.3071,01/01/2020,31/01/2020
Papua New Guinea,Kina,PGK,4.4564,01/01/2020,31/01/2020
Paraguay,Guarani,PYG,8436.83,01/01/2020,31/01/2020
Peru,New Sol,PEN,4.3573,01/01/2020,31/01/2020
Philippines,Peso,PHP,66.21,01/01/2020,31/01/2020
Poland,Zloty,PLN,5.0201,01/01/2020,31/01/2020
Qatar,Riyal,QAR,4.7582,01/01/2020,31/01/2020
Romania,New Leu,RON,5.6107,01/01/2020,31/01/2020
Russia,Rouble,RUB,81.81,01/01/2020,31/01/2020
Rwanda,Franc,RWF,1220.21,01/01/2020,31/01/2020
Saotome & Principe,Dobra,STD,29017.7,01/01/2020,31/01/2020
Saudi Arabia,Riyal,SAR,4.9029,01/01/2020,31/01/2020
Senegal,CFA Franc,XOF,770.63,01/01/2020,31/01/2020
Serbia,Dinar,RSD,138.04,01/01/2020,31/01/2020
Seychelles,Rupee,SCR,18.16,01/01/2020,31/01/2020
Sierra Leone,Leone,SLL,12744.27,01/01/2020,31/01/2020
Singapore,Dollar,SGD,1.7713,01/01/2020,31/01/2020
Soloman Islands,Dollar,SBD,10.75,01/01/2020,31/01/2020
Somali Republic,Schilling,SOS,758.12,01/01/2020,31/01/2020
South Africa,Rand,ZAR,18.65,01/01/2020,31/01/2020
South Korea,Won,KRW,1527.67,01/01/2020,31/01/2020
Sri Lanka,Rupee,LKR,236.81,01/01/2020,31/01/2020
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.5292,01/01/2020,31/01/2020
St Lucia,E Caribbean Dollar,XCD,3.5292,01/01/2020,31/01/2020
St Vincent,E Caribbean Dollar,XCD,3.5292,01/01/2020,31/01/2020
Sudan Republic,Pound,SDG,58.97,01/01/2020,31/01/2020
Surinam,Dollar,SRD,9.7484,01/01/2020,31/01/2020
Swaziland,Lilangeni,SZL,18.65,01/01/2020,31/01/2020
Sweden,Krona,SEK,12.29,01/01/2020,31/01/2020
Switzerland,Franc,CHF,1.2826,01/01/2020,31/01/2020
Taiwan,Dollar,TWD,39.43,01/01/2020,31/01/2020
Tanzania,Schilling,TZS,3003.72,01/01/2020,31/01/2020
Thailand,Baht,THB,39.49,01/01/2020,31/01/2020
Togo Republic,CFA Franc,XOF,770.63,01/01/2020,31/01/2020
Tonga Islands,Pa'anga (AUS),TOP,1.905,01/01/2020,31/01/2020
Trinidad/Tobago,Dollar,TTD,8.8225,01/01/2020,31/01/2020
Tunisia,Dinar,TND,3.7245,01/01/2020,31/01/2020
Turkey,Turkish  Lira,TRY,7.741,01/01/2020,31/01/2020
Turkmenistan,New Manat,TMT,4.5879,01/01/2020,31/01/2020
UAE,Dirham,AED,4.8012,01/01/2020,31/01/2020
Uganda,Schilling,UGX,4787.92,01/01/2020,31/01/2020
Ukraine,Hryvnia,UAH,30.56,01/01/2020,31/01/2020
Uruguay,Peso,UYU,49.29,01/01/2020,31/01/2020
USA,Dollar,USD,1.3071,01/01/2020,31/01/2020
Uzbekistan,Sum,UZS,12459.84,01/01/2020,31/01/2020
Vanuatu,Vatu,VUV,152.24,01/01/2020,31/01/2020
Venezuela,Bolivar Fuerte,VEF,325514.45,01/01/2020,31/01/2020
Vietnam,Dong,VND,30290.91,01/01/2020,31/01/2020
Wallis & Futuna Islands,CFP Franc,XPF,140.19,01/01/2020,31/01/2020
Western Samoa,Tala,WST,3.4754,01/01/2020,31/01/2020
Yemen (Rep of),Rial,YER,326.64,01/01/2020,31/01/2020
Zambia,Kwacha,ZMW,18.96,01/01/2020,31/01/2020
Zimbabwe,Dollar,ZWL,473.04,01/01/2020,31/01/2020
